CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,SNP,2020 Disaster %,2021 Disaster %,2023 Part C Summary,2023 Part D Summary,2023 Overall
H3828 ,Local CCP ,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC. ",Saint Alphonsus Health Plan ,Trinity Health Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3832 ,Local CCP ,HAWAII MEDICAL SERVICE ASSOCIATION ,HMSA Akamai Advantage ,Hawaii Medical Service Association ,Yes ,100,0,3.5,4,3.5
H3864 ,Local CCP ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,PacificSource Medicare ,PacificSource ,Yes ,100,0,4,3.5,3.5
H3890 ,Local CCP ,"HOPKINS HEALTH ADVANTAGE, INC. ",Johns Hopkins Advantage MD ,Johns Hopkins Healthcare LLC ,No ,100,0,3,3.5,3
H3907 ,Local CCP ,"UPMC HEALTH PLAN, INC. ",UPMC for Life ,UPMC Health System ,No ,100,0,5,4.5,5
H3909 ,Local CCP ,QCC INSURANCE COMPANY ,Independence Blue Cross ,"Independence Health Group, Inc. ",No ,100,0,4,4,4
H3916 ,Local CCP ,HIGHMARK SENIOR HEALTH COMPANY ,Highmark Inc. ,Highmark Health ,No ,100,1,5,5,5
H3923 ,Local CCP ,CAPITAL ADVANTAGE INSURANCE COMPANY ,Capital Blue Cross ,CAPITAL BLUE CROSS ,No ,100,0,4.5,4.5,4.5
H3924 ,Local CCP ,GEISINGER INDEMNITY INSURANCE COMPANY ,Geisinger Gold ,Geisinger Health ,No ,100,0,4.5,5,4.5
H3928 ,Local CCP ,AETNA HEALTH INC. (LA) ,Aetna Medicare ,CVS Health Corporation ,No ,100,83,3.5,3.5,3.5
H3931 ,Local CCP ,AETNA HEALTH INC. (PA) ,Aetna Medicare ,CVS Health Corporation ,No ,100,0,4,3.5,3.5
H3949 ,Local CCP ,"BRAVO HEALTH PENNSYLVANIA, INC. ",Cigna ,CIGNA ,Yes ,100,2,3.5,3,3
H3952 ,Local CCP ,"KEYSTONE HEALTH PLAN EAST, INC. ",Independence Blue Cross ,"Independence Health Group, Inc. ",No ,100,0,5,3.5,5
H3954 ,Local CCP ,GEISINGER HEALTH PLAN ,Geisinger Gold ,Geisinger Health ,Yes ,100,0,4.5,4,4.5
H3957 ,Local CCP ,HIGHMARK CHOICE COMPANY ,Highmark Inc. ,Highmark Health ,No ,100,0,5,4.5,5
H3959 ,Local CCP ,AETNA HEALTH INC. (PA) ,Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,4.5,3.5,4.5
H3962 ,Local CCP ,"KEYSTONE HEALTH PLAN CENTRAL, INC. ",Capital Blue Cross ,CAPITAL BLUE CROSS ,No ,100,0,3.5,4,4
H3975 ,Local CCP ,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC ",Wellcare ,Centene Corporation ,Yes ,0,0,2.5,2.5,2.5
H3979 ,Local CCP ,"GHS HEALTH MAINTENANCE ORGANIZATION, INC. ",Blue Cross and Blue Shield of Oklahoma ,Health Care Service Corporation ,No ,100,0,4,3.5,3.5
H4003 ,Local CCP ,"MMM HEALTHCARE, LLC ",Medicare y Mucho Mas ,"Elevance Health, Inc. ",Yes ,100,0,4,4.5,4
H4004 ,Local CCP ,"MMM HEALTHCARE, LLC ",PMC Medicare Choice ,"Elevance Health, Inc. ",Yes ,100,0,4,5,4.5
H4005 ,Local CCP ,"TRIPLE S ADVANTAGE, INC. ",Triple-S Advantage ,Guidewell Mutual Holding Corporation ,No ,100,0,3,5,3.5
H4007 ,Local CCP ,"HUMANA HEALTH PLANS OF PUERTO RICO, INC. ",Humana ,Humana Inc. ,Yes ,100,0,4,5,4.5
H4036 ,Local CCP ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",No ,100,3,4.5,4.5,4.5
H4045 ,Local CCP ,SANTA CLARA COUNTY HEALTH AUTHORITY ,Santa Clara Family Health Plan ,SANTA CLARA COUNTY HEALTH AUTHORITY ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4054 ,Local CCP ,"PROVIDER PARTNERS HEALTH PLAN OF TEXAS, INC. ",Provider Partners Health Plans ,"Rifkin Managed Care Holding, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4073 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC. ",Wellcare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4091 ,Local CCP ,"SIMPRA ADVANTAGE, INC. ",Simpra Advantage ,"Associated Care Ventures, Inc. ",Yes ,100,0,Not enough data available ,5,Not enough data available
H4093 ,Local CCP ,"PROVIDER PARTNERS HEALTH PLAN OF PENNSYLVANIA, INC ",Provider Partners Health Plans ,"Rifkin Managed Care Holding, LLC ",Yes ,100,0,Not enough data available ,3,Not enough data available
H4094 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,3,3,3
H4140 ,Local CCP ,"DOCTORS HEALTHCARE PLANS, INC. ","Doctors HealthCare Plans, Inc. ","DOCTORS HEALTHCARE PLANS, INC. ",Yes ,100,0,4,3.5,4
H4141 ,Local CCP ,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC. ",Humana ,Humana Inc. ,Yes ,100,0,4,3.5,4
H4152 ,Local CCP ,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND ,Blue Cross & Blue Shield of Rhode Island ,Blue Cross & Blue Shield of Rhode Island ,Yes ,100,0,4.5,4.5,5
H4161 ,Local CCP ,BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN ,Anthem Blue Cross Partnership Plan ,"Elevance Health, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4172 ,Local CCP ,"NHC ADVANTAGE, LLC ",NHC Advantage ,"Missouri Healthcare Advisors, LLC ",Yes ,100,0,Not enough data available ,5,Not enough data available
H4198 ,Local CCP ,"COMMUNITYCARE GOVERNMENT PROGRAMS, INC. ",Integris Health Partners+ (HMO) ,St Francis Health System & St John Health System ,No ,100,0,Not enough data available ,4,Not enough data available
H4213 ,PFFS ,USABLE MUTUAL INSURANCE COMPANY ,Arkansas Blue Medicare ,USAble Mutual Insurance Company ,No ,100,0,3.5,3.5,3.5
H4227 ,Local CCP ,"VISTA HEALTH PLAN, INC. ",VISTA Health Plan Inc. ,"Independence Health Group, Inc. ",Yes ,100,0,3.5,3.5,3.5
H4232 ,Local CCP ,"AMERICAN HEALTH PLAN OF UT, INC. ",American Health Advantage of Utah ,Mitchell Family Office ,Yes ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H4277 ,Local CCP ,CommunityCare Life & Health Insurance Co. ,CommunityCare Options (PPO) ,"CommunityCare Managed Healthcare Plans of OK, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4279 ,Local CCP ,"UPMC FOR YOU, INC ",UPMC for Life Complete Care ,UPMC Health System ,Yes ,100,0,4,4.5,4.5
H4286 ,Local CCP ,"LEON HEALTH, INC. ",Leon Health Plans ,"Leon Health Holdings, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4304 ,Local CCP ,UNIVERSITY OF UTAH HEALTH INSURANCE PLANS ,University of Utah Health Insurance Plans ,University of Utah ,No ,0,0,4,3.5,3.5
H4343 ,Local CCP ,"CENTENE VENTURE COMPANY ALABAMA HEALTH PLAN, INC. ",Ascension Complete ,Centene Corporation ,Yes ,0,0,Not enough data available ,2.5,Not enough data available
H4346 ,Local CCP ,"HMO COLORADO, INC. ",Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",Yes ,100,0,2.5,2.5,2.5
H4407 ,Local CCP ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",Cigna ,CIGNA ,Yes ,100,33,4.5,3.5,4.5
H4461 ,Local CCP ,CARITEN HEALTH PLAN INC. ,Humana ,Humana Inc. ,Yes ,100,0,5,4,5
H4490 ,Local CCP ,"AMERICAN HEALTH PLAN OF MISSOURI, INC. ",American Health Advantage of Missouri ,Mitchell Family Office ,Yes ,100,0,Not enough data available ,3.5,Not enough data available
H4497 ,Local CCP ,MEDICAL MUTUAL OF OHIO ,Medical Mutual of Ohio ,MEDICAL MUTUAL OF OHIO ,No ,100,0,5,4.5,5
H4506 ,Local CCP ,"SELECTCARE OF TEXAS, INC. ",Wellcare ,Centene Corporation ,No ,100,100,3.5,4,4
H4513 ,Local CCP ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",Cigna ,CIGNA ,Yes ,100,43,5,4,5
H4514 ,Local CCP ,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,100,4.5,4.5,4.5
H4523 ,Local CCP ,AETNA HEALTH INC. (TX) ,Aetna Medicare ,CVS Health Corporation ,No ,100,99,3.5,3.5,3.5
H4527 ,Local CCP ,"PHYSICIANS HEALTH CHOICE OF TEXAS, LLC ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,92,5,4,4.5
H4537 ,Local CCP ,"WELLCARE HEALTH INSURANCE COMPANY OF OKLAHOMA, INC ",Wellcare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4544 ,Local CCP ,"PEOPLES HEALTH, INC. ",Peoples Health ,"UnitedHealth Group, Inc. ",No ,0,67,3.5,3,3.5
H4590 ,Local CCP ,"UNITEDHEALTHCARE BENEFITS OF TEXAS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,99,5,5,5
H4604 ,Local CCP ,"UNITEDHEALTHCARE OF THE ROCKIES, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,5,3.5,4.5
H4605 ,Local CCP ,REGENCE BLUECROSS BLUESHIELD OF UTAH ,Regence BlueCross BlueShield of Utah ,"Cambia Health Solutions, Inc. ",No ,100,0,5,3.5,4
H4620 ,Local CCP ,"ESSENCE HEALTHCARE OF OHIO, INC. ",Essence Healthcare ,Essence Group Holdings Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4623 ,Local CCP ,"HUMANA REGIONAL HEALTH PLAN, INC. ",Humana ,Humana Inc. ,No ,100,0,3.5,4,4
H4624 ,Local CCP ,"ZING HEALTH OF MICHIGAN, INC. ",Zing Health ,"Zing Health Consolidator, Inc ",Yes ,0,0,Not enough data available ,3.5,Not enough data available
H4675 ,Local CCP ,HEALTHIER NEW JERSEY INSURANCE COMPANY ,Braven Health ,"NJ Collaborative Care, LLC ",No ,0,49,2.5,3.5,3
H4676 ,Local CCP ,"TROY HEALTH, INC. ",Troy Medicare ,"Troy Holdings, Inc. ",Yes ,100,0,3,3,3
H4699 ,Local CCP ,"WELLCARE HEALTH PLANS OF RHODE ISLAND, INC. ",Wellcare ,Centene Corporation ,Yes ,0,0,Not enough data available ,3,Not enough data available
H4709 ,Local CCP ,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA ,Bright Health ,"Bright Health Group, Inc. ",Yes ,100,0,Not enough data available ,3.5,Not enough data available
H4711 ,Local CCP ,"COVENTRY HEALTH CARE OF NEBRASKA, INC. ",Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,3,3,3
H4733 ,Local CCP ,COMMUNITY HEALTH GROUP ,Community Health Group ,Community Health Group ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4739 ,Local CCP ,"SELECT HEALTH OF SOUTH CAROLINA, INC. ",First Choice VIP Care ,"Independence Health Group, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4754 ,Local CCP ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,PacificSource Medicare ,PacificSource ,No ,100,0,3.5,3.5,3.5
H4801 ,Local CCP ,GHS INSURANCE COMPANY ,"Blue Cross and Blue Shield of OK, TX ",Health Care Service Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4808 ,Local CCP ,DEVOTED HEALTH INSURANCE COMPANY OF COLORADO INC ,Devoted Health ,"Devoted Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4829 ,Local CCP ,UHC OF CALIFORNIA ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,2.5,3,2.5
H4835 ,Local CCP ,AETNA BETTER HEALTH OF OKLAHOMA INC. ,Aetna Medicare ,CVS Health Corporation ,No ,100,0,3.5,3,3.5
H4847 ,Local CCP ,"WELLCARE OF SOUTH CAROLINA, INC. ",Wellcare ,Centene Corporation ,Yes ,100,0,3.5,2.5,3
H4863 ,Local CCP ,TRH HEALTH INSURANCE COMPANY ,Farm Bureau Health Plans ,Tennessee Rural Health Improvement Association ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4868 ,Local CCP ,"WELLCARE OF NEW YORK, INC. ",Wellcare ,Centene Corporation ,Yes ,100,71,3,3,3
H4869 ,Local CCP ,GOLD KIDNEY OF ARIZONA ,Gold Kidney Health Plan ,Gold Kidney Health Plan ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4875 ,Local CCP ,PRIORITY HEALTH ,Priority Health Medicare ,BHSH ,No ,100,0,4.5,3.5,4.5
H4882 ,Local CCP ,"HEALTHPARTNERS, INC. ",HealthPartners ,"HealthPartners, Inc. ",No ,100,0,5,4.5,5
H4909 ,Local CCP ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",Yes ,100,0,3,2.5,3
H4922 ,Local CCP ,"AGEWELL NEW YORK, LLC ",AgeWell New York ,"ParkerCare New York, LLC ",Yes ,100,99,Not enough data available ,4,Not enough data available
H4931 ,Local CCP ,BANNER - UNIVERSITY CARE ADVANTAGE ,Banner Medicare Advantage Dual ,Banner Health ,Yes ,100,0,3.5,3,3
H4937 ,Local CCP ,CALIFORNIA PHYSICIANS' SERVICE ,Blue Shield of California ,California Physicians' Service ,No ,100,1,3.5,3.5,3.5
H4943 ,Local CCP ,Scott & White Care Plans ,Baylor Scott & White Health Plan ,Baylor Scott & White Holdings ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4961 ,Local CCP ,ALIGNMENT HEALTH PLAN ,Alignment Health Plan ,"Alignment Healthcare USA, LLC ",No ,100,0,3.5,3.5,3.5
H4982 ,Local CCP ,AETNA BETTER HEALTH OF CALIFORNIA INC. ,Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,3,2.5,3
H5008 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,13,3.5,3.5,4
H5009 ,Local CCP ,REGENCE BLUESHIELD ,Regence BlueShield ,"Cambia Health Solutions, Inc. ",No ,100,0,4,4,4
H5010 ,Local CCP ,ASURIS NORTHWEST HEALTH ,Asuris Northwest Health ,"Cambia Health Solutions, Inc. ",No ,100,0,4,3.5,3.5
H5015 ,Local CCP ,"TEXAS INDEPENDENCE HEALTH PLAN, INC. ",Texas Independence Health Plan ,Regency ISNP Holdings LLC ,Yes ,0,97,4.5,4,4
H5042 ,Local CCP ,"CDPHP UNIVERSAL BENEFITS, INC. ",CDPHP Medicare Advantage ,"Capital District Physicians' Health Plan, Inc. ",No ,100,0,5,4,5
H5050 ,Local CCP ,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON ,Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",No ,100,0,4,5,4.5
H5087 ,Local CCP ,"WELLCARE OF CALIFORNIA, INC. ",Wellcare ,Centene Corporation ,Yes ,100,0,3,2.5,3
H5106 ,Local CCP ,HIGHMARK SENIOR SOLUTIONS COMPANY ,Highmark Inc. ,Highmark Health ,No ,100,0,5,4.5,5
H5117 ,Local CCP ,"LOUISIANA HEALTHCARE CONNECTIONS, INC. ",Wellcare by Allwell ,Centene Corporation ,Yes ,100,87,2.5,2.5,2.5
H5140 ,Local CCP ,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC. ",Blue Cross Blue Shield of Arizona ,Blue Cross Blue Shield of Arizona ,No ,100,0,3.5,3.5,3.5
H5141 ,Local CCP ,CLOVER INSURANCE COMPANY ,Clover Health ,"Clover Health Holdings, Inc. ",No ,100,63,3.5,3.5,3.5
H5178 ,Local CCP ,"HUMANA HEALTH PLAN, INC. ",Humana ,Humana Inc. ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H5190 ,Local CCP ,"SUNSHINE STATE HEALTH PLAN, INC. ",Wellcare by Allwell ,Centene Corporation ,No ,100,0,2.5,3,3
H5199 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC. ",Wellcare ,Centene Corporation ,Yes ,100,0,2,2.5,2
H5209 ,Local CCP ,"My Choice Wisconsin Health Plan, Inc. ",My Choice Wisconsin Health Plan ,"My Choice Wisconsin, Inc. ",Yes ,100,0,4,4.5,4
H5211 ,Local CCP ,"SECURITY HEALTH PLAN OF WISCONSIN, INC. ","Security Health Plan of Wisconsin, Inc. ","Marshfield Clinic Health System, Inc. ",Yes ,100,0,5,4,4.5
H5215 ,Local CCP ,NETWORK HEALTH INSURANCE CORPORATION ,Network Health Medicare Advantage Plans ,"Network Health, Inc. ",Yes ,100,0,5,5,5
H5216 ,Local CCP ,HUMANA INSURANCE COMPANY ,Humana ,Humana Inc. ,Yes ,100,8,4.5,3.5,4.5
H5232 ,Local CCP ,"PARAMOUNT CARE, INC. ",Paramount Elite Medicare Plans ,"Promedica Health System, Inc. ",No ,100,0,Not enough data available ,Not enough data available ,Not enough data available
H5253 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,4.5,4,4.5
H5256 ,1876 Cost ,MEDICAL ASSOCIATES CLINIC HEALTH PLAN ,Medical Associates Clinic Health Plan of Wisconsin ,"Medical Associates Clinic, P.C. ",No ,100,0,5,Not Applicable ,Not Applicable
H5262 ,Local CCP ,QUARTZ HEALTH PLAN CORPORATION ,Quartz Medicare Advantage ,University of Wisconsin Hospitals and Clincs Autho ,Yes ,100,0,5,4.5,5
H5264 ,1876 Cost ,"DEAN HEALTH PLAN, INC. ","Dean Health Plan, Inc. ",Medica Holding Company ,No ,100,0,5,Not Applicable ,Not Applicable
H5273 ,Local CCP ,"CAREPARTNERS OF CONNECTICUT, INC. ",CarePartners of Connecticut ,"Point32Health, Inc. ",No ,100,0,4,4,4
H5280 ,Demo ,"MOLINA HEALTHCARE OF OHIO, INC. ",Molina Healthcare of Ohio ,"Molina Healthcare, Inc., ",No ,100,0,Not Applicable ,Not enough data available ,Not enough data available
H5294 ,Local CCP ,"SUPERIOR HEALTHPLAN, INC. ",Wellcare by Allwell ,Centene Corporation ,Yes ,100,82,3.5,3,3.5
H5296 ,Local CCP ,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC. ",Alignment Health Plan ,"Alignment Healthcare USA, LLC ",Yes ,0,0,5,4.5,5
H5299 ,Local CCP ,DEVOTED HEALTH PLAN OF NORTH CAROLINA INC ,Devoted Health ,"Devoted Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5302 ,Local CCP ,AETNA HEALTH INC. (GA) ,Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,3,2.5,3
H5322 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,45,5,4.5,5
H5325 ,Local CCP ,"COVENTRY HEALTH CARE OF KANSAS, INC. ",Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,4,3.5,4
H5372 ,Local CCP ,"ESSENCE HEALTHCARE OF GEORGIA, INC. ",Essence Healthcare ,Essence Group Holdings Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5373 ,Local CCP ,"PARAMOUNT CARE OF INDIANA, INC. ",ProMedica Medicare Plan ,"Promedica Health System, Inc. ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H5374 ,Local CCP ,"LONGEVITY HEALTH PLAN OF NORTH CAROLINA, INC. ",Longevity Health Plan ,"Longevity Health Founders, LLC ",Yes ,0,0,Not enough data available ,3,Not enough data available
H5377 ,Local CCP ,"HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC. ",Humana ,Humana Inc. ,No ,100,0,Not enough data available ,4,Not enough data available
H5386 ,Local CCP ,SHARP HEALTH PLAN ,Sharp Health Plan ,Sharp Healthcare ,No ,100,0,5,4.5,5
H5398 ,Local CCP ,CENTENE VENTURE COMPANY KANSAS ,Ascension Complete ,Centene Corporation ,No ,100,0,Not enough data available ,2.5,Not enough data available
H5410 ,Local CCP ,"HEALTHSPRING OF FLORIDA, INC. ",Cigna ,CIGNA ,Yes ,100,0,4,4,4.5
H5420 ,Local CCP ,"Preferred Care Network, Inc. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,4.5,3.5,4.5
H5422 ,Local CCP ,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA ,Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",Yes ,100,0,3,3,3
H5425 ,Local CCP ,SCAN HEALTH PLAN ,SCAN Health Plan ,SCAN Group ,Yes ,100,0,4,4.5,4.5
H5427 ,Local CCP ,"FREEDOM HEALTH, INC. ","Freedom Health, Inc. ","Elevance Health, Inc. ",Yes ,100,0,4.5,4.5,4.5
H5430 ,Local CCP ,"ONE CARE BY CARE1ST HEALTH PLAN OF ARIZONA, INC. ",WellCare ,Centene Corporation ,No ,100,0,3,2,2.5
H5431 ,Local CCP ,"HEALTHSUN HEALTH PLANS, INC. ","HealthSun Health Plans, Inc. ","Elevance Health, Inc. ",Yes ,100,0,5,4,5
H5433 ,Local CCP ,ORANGE COUNTY HEALTH AUTHORITY ,OneCare ,Orange County Health Authority ,Yes ,100,0,2.5,3.5,3
H5434 ,Local CCP ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",Florida Blue ,Guidewell Mutual Holding Corporation ,No ,100,0,3.5,3,3.5
H5435 ,PFFS ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,0,3,3,3
H5439 ,Local CCP ,HEALTH NET LIFE INSURANCE COMPANY ,Wellcare by Health Net ,Centene Corporation ,No ,100,0,3,3,3
H5447 ,Local CCP ,"COMMUNITY FIRST HEALTH PLANS, INC. ",Community First Health Plans ,Bexar County Hospital District ,Yes ,0,100,Not enough data available ,Not enough data available ,Not enough data available
H5454 ,Local CCP ,"CLEAR SPRING HEALTH OF ILLINOIS, INC. ",Clear Spring Health ,Group 1001 ,No ,100,0,Not enough data available ,Not enough data available ,Not enough data available
H5471 ,Local CCP ,"SIMPLY HEALTHCARE PLANS, INC. ","Simply Healthcare Plans, Inc. ","Elevance Health, Inc. ",Yes ,100,0,4.5,4,4.5
H5472 ,Local CCP ,ALIGNMENT HEALTH INSURANCE COMPANY OF ARIZONA INC ,Alignment Health Plan ,"Alignment Healthcare USA, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5475 ,Local CCP ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",Wellcare ,Centene Corporation ,Yes ,100,0,2.5,2.5,2.5
H5496 ,Local CCP ,"IMPERIAL HEALTH PLAN OF CALIFORNIA, INC. ","Imperial Health Plan of California, Inc. ",Imperial Health Plan of California ,Yes ,100,0,2.5,2.5,2.5
H5521 ,Local CCP ,AETNA LIFE INSURANCE COMPANY ,Aetna Medicare ,CVS Health Corporation ,No ,100,16,4,3.5,3.5
H5522 ,Local CCP ,"HEALTHASSURANCE PENNSYLVANIA, INC. ",Aetna Medicare ,CVS Health Corporation ,No ,100,0,4.5,4,4.5
H5525 ,Local CCP ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana ,Humana Inc. ,Yes ,100,0,4,3.5,4
H5526 ,Local CCP ,Highmark Western and Northeastern New York Inc. ,Highmark BCBS of WNY and Highmark BS of NENY ,Highmark Health ,No ,100,0,4.5,4.5,5
H5528 ,Local CCP ,"EMBLEMHEALTH PLAN, INC. ",EmblemHealth Medicare PPO ,"EmblemHealth, Inc. ",No ,100,65,Not enough data available ,Not enough data available ,Not enough data available
H5533 ,Local CCP ,"UPMC HEALTH NETWORK, INC. ",UPMC for Life ,UPMC Health System ,No ,100,0,5,5,5
H5549 ,Local CCP ,VNS CHOICE ,VNS Health Medicare ,Visiting Nurse Service of New York ,Yes ,100,76,4.5,5,4.5
H5576 ,Local CCP ,"VANTAGE HEALTH PLAN, INC. ",Vantage Health Plan ,Louisiana Health Service & Indemnity Company ,Yes ,100,6,4.5,4.5,4.5
H5577 ,Local CCP ,"MCS ADVANTAGE, INC. ",MCS Classicare ,"MHH Healthcare, L.P. ",Yes ,100,0,4,4.5,4
H5580 ,Local CCP ,MERCY CARE ,Mercy Care Advantage ,Mercy Care ,Yes ,100,0,3.5,3,3
H5587 ,Local CCP ,"HEALTH CHOICE ARIZONA, INC. ",Health Choice Arizona ,Blue Cross Blue Shield of Arizona ,Yes ,100,0,3.5,5,4
H5590 ,Local CCP ,"Bridgeway Health Solutions of Arizona, Inc. ",Wellcare by Allwell ,Centene Corporation ,Yes ,100,0,3.5,3.5,3.5
H5591 ,Local CCP ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ",Martin's Point Generations Advantage ,"Martin's Point Health Care, Inc. ",Yes ,100,0,5,5,5
H5593 ,Local CCP ,AETNA HEALTH OF IOWA INC. ,Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,3.5,3,4
H5594 ,Local CCP ,"OPTIMUM HEALTHCARE, INC. ","Optimum HealthCare, Inc. ","Elevance Health, Inc. ",Yes ,100,0,5,4.5,5
H5599 ,Local CCP ,NEW YORK QUALITY HEALTHCARE CORPORATION ,Wellcare by Fidelis Care ,Centene Corporation ,Yes ,0,46,3.5,3.5,3.5
H5608 ,Local CCP ,"DENVER HEALTH MEDICAL PLAN, INC. ",Elevate Medicare Advantage ,Denver Health and Hospital Authority ,Yes ,100,0,3.5,4,3.5
H5619 ,Local CCP ,"ARCADIAN HEALTH PLAN, INC. ",Humana ,Humana Inc. ,Yes ,100,0,4,3.5,4
H5628 ,Local CCP ,"MOLINA HEALTHCARE OF UTAH, INC. ",Molina Healthcare of Utah & Idaho ,"Molina Healthcare, Inc., ",Yes ,100,0,3,3,3
H5644 ,Local CCP ,NETWORK HEALTH INSURANCE CORPORATION ,Network Health Medicare Advantage Plans ,"Network Health, Inc. ",No ,100,0,Not enough data available ,5,Not enough data available
H5649 ,Local CCP ,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC. ",Central Health Medicare Plan ,"Bright Health Group, Inc. ",Yes ,100,0,3.5,3.5,3.5
H5652 ,Local CCP ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,15,5,4.5,5
