CONTRACT_ID,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H4045 ,Santa Clara Family Health Plan ,SANTA CLARA COUNTY HEALTH AUTHORITY ,SANTA CLARA COUNTY HEALTH AUTHORITY ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4054 ,Provider Partners Health Plans ,"PROVIDER PARTNERS HEALTH PLAN OF TEXAS, INC. ","Rifkin Managed Care Holding, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4073 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4091 ,Simpra Advantage ,"SIMPRA ADVANTAGE, INC. ","Associated Care Ventures, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4093 ,Provider Partners Health Plans ,"PROVIDER PARTNERS HEALTH PLAN OF PENNSYLVANIA, INC ","Rifkin Managed Care Holding, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4094 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4140 ,"Doctors HealthCare Plans, Inc. ","DOCTORS HEALTHCARE PLANS, INC. ","DOCTORS HEALTHCARE PLANS, INC. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4141 ,Humana ,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC. ",Humana Inc. ,12%,20%,12%,6%,6%
H4152 ,Blue Cross & Blue Shield of Rhode Island ,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND ,Blue Cross & Blue Shield of Rhode Island ,15%,7%,19%,Not Available ,8%
H4161 ,Anthem Blue Cross Partnership Plan ,BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN ,"Elevance Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4172 ,NHC Advantage ,"NHC ADVANTAGE, LLC ","Missouri Healthcare Advisors, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4198 ,Integris Health Partners+ (HMO) ,"COMMUNITYCARE GOVERNMENT PROGRAMS, INC. ",St Francis Health System & St John Health System ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4213 ,Arkansas Blue Medicare ,USABLE MUTUAL INSURANCE COMPANY ,USAble Mutual Insurance Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4227 ,VISTA Health Plan Inc. ,"VISTA HEALTH PLAN, INC. ","Independence Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4232 ,American Health Advantage of Utah ,"AMERICAN HEALTH PLAN OF UT, INC. ",Mitchell Family Office ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4277 ,CommunityCare Options (PPO) ,CommunityCare Life & Health Insurance Co. ,"CommunityCare Managed Healthcare Plans of OK, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4279 ,UPMC for Life Complete Care ,"UPMC FOR YOU, INC ",UPMC Health System ,9%,9%,19%,Not Available ,10%
H4286 ,Leon Health Plans ,"LEON HEALTH, INC. ","Leon Health Holdings, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4304 ,University of Utah Health Insurance Plans ,UNIVERSITY OF UTAH HEALTH INSURANCE PLANS ,University of Utah ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4343 ,Ascension Complete ,"CENTENE VENTURE COMPANY ALABAMA HEALTH PLAN, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4346 ,Anthem Blue Cross and Blue Shield ,"HMO COLORADO, INC. ","Elevance Health, Inc. ",30%,43%,24%,17%,22%
H4407 ,Cigna ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",CIGNA ,20%,41%,13%,Not Available ,15%
H4461 ,Humana ,CARITEN HEALTH PLAN INC. ,Humana Inc. ,14%,20%,22%,6%,13%
H4490 ,American Health Advantage of Missouri ,"AMERICAN HEALTH PLAN OF MISSOURI, INC. ",Mitchell Family Office ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4497 ,Medical Mutual of Ohio ,MEDICAL MUTUAL OF OHIO ,MEDICAL MUTUAL OF OHIO ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4506 ,Wellcare ,"SELECTCARE OF TEXAS, INC. ",Centene Corporation ,28%,29%,15%,10%,21%
H4513 ,Cigna ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",CIGNA ,15%,29%,18%,Not Available ,12%
H4514 ,UnitedHealthcare ,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4523 ,Aetna Medicare ,AETNA HEALTH INC. (TX) ,CVS Health Corporation ,18%,19%,19%,Not Available ,12%
H4527 ,UnitedHealthcare ,"PHYSICIANS HEALTH CHOICE OF TEXAS, LLC ","UnitedHealth Group, Inc. ",17%,18%,17%,Not Available ,13%
H4537 ,Wellcare ,"WELLCARE HEALTH INSURANCE COMPANY OF OKLAHOMA, INC ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4544 ,Peoples Health ,"PEOPLES HEALTH, INC. ","UnitedHealth Group, Inc. ",19%,28%,24%,Not Available ,13%
H4590 ,UnitedHealthcare ,"UNITEDHEALTHCARE BENEFITS OF TEXAS, INC. ","UnitedHealth Group, Inc. ",19%,14%,11%,6%,10%
H4604 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF THE ROCKIES, INC. ","UnitedHealth Group, Inc. ",23%,21%,26%,Not Available ,17%
H4605 ,Regence BlueCross BlueShield of Utah ,REGENCE BLUECROSS BLUESHIELD OF UTAH ,"Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4620 ,Essence Healthcare ,"ESSENCE HEALTHCARE OF OHIO, INC. ",Essence Group Holdings Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4623 ,Humana ,"HUMANA REGIONAL HEALTH PLAN, INC. ",Humana Inc. ,18%,13%,12%,6%,10%
H4624 ,Zing Health ,"ZING HEALTH OF MICHIGAN, INC. ","Zing Health Consolidator, Inc ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4675 ,Braven Health ,HEALTHIER NEW JERSEY INSURANCE COMPANY ,"NJ Collaborative Care, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4676 ,Troy Medicare ,"TROY HEALTH, INC. ","Troy Holdings, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4699 ,Wellcare ,"WELLCARE HEALTH PLANS OF RHODE ISLAND, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4709 ,Bright Health ,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA ,"Bright Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4711 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF NEBRASKA, INC. ",CVS Health Corporation ,26%,43%,20%,Not Available ,21%
H4733 ,Community Health Group ,COMMUNITY HEALTH GROUP ,Community Health Group ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4739 ,First Choice VIP Care ,"SELECT HEALTH OF SOUTH CAROLINA, INC. ","Independence Health Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4754 ,PacificSource Medicare ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,PacificSource ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4801 ,"Blue Cross and Blue Shield of OK, TX ",GHS INSURANCE COMPANY ,Health Care Service Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4808 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF COLORADO INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4829 ,UnitedHealthcare ,UHC OF CALIFORNIA ,"UnitedHealth Group, Inc. ",23%,31%,41%,Not Available ,Not Available
H4835 ,Aetna Medicare ,AETNA BETTER HEALTH OF OKLAHOMA INC. ,CVS Health Corporation ,23%,30%,21%,Not Available ,18%
H4847 ,Wellcare ,"WELLCARE OF SOUTH CAROLINA, INC. ",Centene Corporation ,19%,27%,18%,Not Available ,12%
H4863 ,Farm Bureau Health Plans ,TRH HEALTH INSURANCE COMPANY ,Tennessee Rural Health Improvement Association ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4868 ,Wellcare ,"WELLCARE OF NEW YORK, INC. ",Centene Corporation ,21%,27%,14%,Not Available ,16%
H4869 ,Gold Kidney Health Plan ,GOLD KIDNEY OF ARIZONA ,Gold Kidney Health Plan ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4875 ,Priority Health Medicare ,PRIORITY HEALTH ,BHSH ,9%,7%,31%,Not Available ,4%
H4882 ,HealthPartners ,"HEALTHPARTNERS, INC. ","HealthPartners, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4909 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",17%,24%,26%,Not Available ,16%
H4922 ,AgeWell New York ,"AGEWELL NEW YORK, LLC ","ParkerCare New York, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4931 ,Banner Medicare Advantage Dual ,BANNER - UNIVERSITY CARE ADVANTAGE ,Banner Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4937 ,Blue Shield of California ,CALIFORNIA PHYSICIANS' SERVICE ,California Physicians' Service ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4943 ,Baylor Scott & White Health Plan ,Scott & White Care Plans ,Baylor Scott & White Holdings ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4961 ,Alignment Health Plan ,ALIGNMENT HEALTH PLAN ,"Alignment Healthcare USA, LLC ",25%,42%,27%,Not Available ,24%
H4982 ,Aetna Medicare ,AETNA BETTER HEALTH OF CALIFORNIA INC. ,CVS Health Corporation ,30%,32%,26%,Not Available ,23%
H5008 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",18%,31%,10%,Not Available ,12%
H5009 ,Regence BlueShield ,REGENCE BLUESHIELD ,"Cambia Health Solutions, Inc. ",16%,16%,35%,Not Available ,7%
H5010 ,Asuris Northwest Health ,ASURIS NORTHWEST HEALTH ,"Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5015 ,Texas Independence Health Plan ,"TEXAS INDEPENDENCE HEALTH PLAN, INC. ",Regency ISNP Holdings LLC ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5042 ,CDPHP Medicare Advantage ,"CDPHP UNIVERSAL BENEFITS, INC. ","Capital District Physicians' Health Plan, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5050 ,Kaiser Permanente ,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON ,"Kaiser Foundation Health Plan, Inc. ",22%,40%,22%,5%,11%
H5087 ,Wellcare ,"WELLCARE OF CALIFORNIA, INC. ",Centene Corporation ,17%,22%,17%,9%,14%
H5106 ,Highmark Inc. ,HIGHMARK SENIOR SOLUTIONS COMPANY ,Highmark Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5117 ,Wellcare by Allwell ,"LOUISIANA HEALTHCARE CONNECTIONS, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5140 ,Blue Cross Blue Shield of Arizona ,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC. ",Blue Cross Blue Shield of Arizona ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5141 ,Clover Health ,CLOVER INSURANCE COMPANY ,"Clover Health Holdings, Inc. ",Not Available ,29%,15%,Not Available ,12%
H5178 ,Humana ,"HUMANA HEALTH PLAN, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5190 ,Wellcare by Allwell ,"SUNSHINE STATE HEALTH PLAN, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5199 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC. ",Centene Corporation ,33%,42%,18%,Not Available ,22%
H5209 ,My Choice Wisconsin Health Plan ,"My Choice Wisconsin Health Plan, Inc. ","My Choice Wisconsin, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5211 ,"Security Health Plan of Wisconsin, Inc. ","SECURITY HEALTH PLAN OF WISCONSIN, INC. ","Marshfield Clinic Health System, Inc. ",10%,19%,33%,7%,7%
H5215 ,Network Health Medicare Advantage Plans ,NETWORK HEALTH INSURANCE CORPORATION ,"Network Health, Inc. ",10%,9%,15%,6%,7%
H5216 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,13%,10%,26%,Not Available ,12%
H5232 ,Paramount Elite Medicare Plans ,"PARAMOUNT CARE, INC. ","Promedica Health System, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5253 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",12%,18%,25%,Not Available ,12%
H5256 ,Medical Associates Clinic Health Plan of Wisconsin ,MEDICAL ASSOCIATES CLINIC HEALTH PLAN ,"Medical Associates Clinic, P.C. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5262 ,Quartz Medicare Advantage ,QUARTZ HEALTH PLAN CORPORATION ,University of Wisconsin Hospitals and Clincs Autho ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5264 ,"Dean Health Plan, Inc. ","DEAN HEALTH PLAN, INC. ",Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5273 ,CarePartners of Connecticut ,"CAREPARTNERS OF CONNECTICUT, INC. ","Point32Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5294 ,Wellcare by Allwell ,"SUPERIOR HEALTHPLAN, INC. ",Centene Corporation ,35%,51%,16%,Not Available ,20%
H5296 ,Alignment Health Plan ,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC. ","Alignment Healthcare USA, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5299 ,Devoted Health ,DEVOTED HEALTH PLAN OF NORTH CAROLINA INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5302 ,Aetna Medicare ,AETNA HEALTH INC. (GA) ,CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5322 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",7%,18%,7%,5%,5%
H5325 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF KANSAS, INC. ",CVS Health Corporation ,10%,24%,11%,Not Available ,11%
H5372 ,Essence Healthcare ,"ESSENCE HEALTHCARE OF GEORGIA, INC. ",Essence Group Holdings Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5373 ,ProMedica Medicare Plan ,"PARAMOUNT CARE OF INDIANA, INC. ","Promedica Health System, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5374 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF NORTH CAROLINA, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5377 ,Humana ,"HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5386 ,Sharp Health Plan ,SHARP HEALTH PLAN ,Sharp Healthcare ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5398 ,Ascension Complete ,CENTENE VENTURE COMPANY KANSAS ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5410 ,Cigna ,"HEALTHSPRING OF FLORIDA, INC. ",CIGNA ,18%,12%,15%,Not Available ,18%
H5420 ,UnitedHealthcare ,"Preferred Care Network, Inc. ","UnitedHealth Group, Inc. ",13%,17%,17%,Not Available ,8%
H5422 ,Anthem Blue Cross and Blue Shield ,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA ,"Elevance Health, Inc. ",18%,26%,22%,19%,13%
H5425 ,SCAN Health Plan ,SCAN HEALTH PLAN ,SCAN Group ,15%,23%,10%,Not Available ,13%
H5427 ,"Freedom Health, Inc. ","FREEDOM HEALTH, INC. ","Elevance Health, Inc. ",22%,28%,8%,10%,14%
H5430 ,WellCare ,"ONE CARE BY CARE1ST HEALTH PLAN OF ARIZONA, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5431 ,"HealthSun Health Plans, Inc. ","HEALTHSUN HEALTH PLANS, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5433 ,OneCare ,ORANGE COUNTY HEALTH AUTHORITY ,Orange County Health Authority ,14%,25%,13%,Not Available ,Not Available
H5434 ,Florida Blue ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",Guidewell Mutual Holding Corporation ,19%,14%,34%,23%,17%
H5435 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5439 ,Wellcare by Health Net ,HEALTH NET LIFE INSURANCE COMPANY ,Centene Corporation ,17%,23%,29%,Not Available ,11%
H5447 ,Community First Health Plans ,"COMMUNITY FIRST HEALTH PLANS, INC. ",Bexar County Hospital District ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5454 ,Clear Spring Health ,"CLEAR SPRING HEALTH OF ILLINOIS, INC. ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5471 ,"Simply Healthcare Plans, Inc. ","SIMPLY HEALTHCARE PLANS, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5472 ,Alignment Health Plan ,ALIGNMENT HEALTH INSURANCE COMPANY OF ARIZONA INC ,"Alignment Healthcare USA, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5475 ,Wellcare ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",Centene Corporation ,27%,45%,22%,Not Available ,25%
H5496 ,"Imperial Health Plan of California, Inc. ","IMPERIAL HEALTH PLAN OF CALIFORNIA, INC. ",Imperial Health Plan of California ,34%,53%,9%,Not Available ,20%
H5521 ,Aetna Medicare ,AETNA LIFE INSURANCE COMPANY ,CVS Health Corporation ,9%,10%,28%,Not Available ,10%
H5522 ,Aetna Medicare ,"HEALTHASSURANCE PENNSYLVANIA, INC. ",CVS Health Corporation ,12%,10%,25%,Not Available ,11%
H5525 ,Humana ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana Inc. ,19%,14%,25%,Not Available ,12%
H5526 ,Highmark BCBS of WNY and Highmark BS of NENY ,Highmark Western and Northeastern New York Inc. ,Highmark Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5528 ,EmblemHealth Medicare PPO ,"EMBLEMHEALTH PLAN, INC. ","EmblemHealth, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5533 ,UPMC for Life ,"UPMC HEALTH NETWORK, INC. ",UPMC Health System ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5549 ,VNS Health Medicare ,VNS CHOICE ,Visiting Nurse Service of New York ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5576 ,Vantage Health Plan ,"VANTAGE HEALTH PLAN, INC. ",Louisiana Health Service & Indemnity Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5577 ,MCS Classicare ,"MCS ADVANTAGE, INC. ","MHH Healthcare, L.P. ",9%,13%,10%,8%,12%
H5580 ,Mercy Care Advantage ,MERCY CARE ,Mercy Care ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5587 ,Health Choice Arizona ,"HEALTH CHOICE ARIZONA, INC. ",Blue Cross Blue Shield of Arizona ,9%,23%,7%,Not Available ,9%
H5590 ,Wellcare by Allwell ,"Bridgeway Health Solutions of Arizona, Inc. ",Centene Corporation ,24%,22%,18%,Not Available ,16%
H5591 ,Martin's Point Generations Advantage ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ","Martin's Point Health Care, Inc. ",19%,20%,29%,8%,10%
H5593 ,Aetna Medicare ,AETNA HEALTH OF IOWA INC. ,CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5594 ,"Optimum HealthCare, Inc. ","OPTIMUM HEALTHCARE, INC. ","Elevance Health, Inc. ",19%,22%,13%,Not Available ,10%
H5599 ,Wellcare by Fidelis Care ,NEW YORK QUALITY HEALTHCARE CORPORATION ,Centene Corporation ,33%,25%,21%,24%,23%
H5608 ,Elevate Medicare Advantage ,"DENVER HEALTH MEDICAL PLAN, INC. ",Denver Health and Hospital Authority ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5619 ,Humana ,"ARCADIAN HEALTH PLAN, INC. ",Humana Inc. ,8%,16%,12%,7%,11%
H5628 ,Molina Healthcare of Utah & Idaho ,"MOLINA HEALTHCARE OF UTAH, INC. ","Molina Healthcare, Inc., ",26%,29%,16%,9%,17%
H5644 ,Network Health Medicare Advantage Plans ,NETWORK HEALTH INSURANCE CORPORATION ,"Network Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5649 ,Central Health Medicare Plan ,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC. ","Bright Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5652 ,UnitedHealthcare ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5703 ,South Country Health Alliance ,SOUTH COUNTRY HEALTH ALLIANCE ,South Country Health Alliance ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5746 ,Amerigroup Community Care of New Mexico ,"AMERIGROUP COMMUNITY CARE OF NEW MEXICO, INC. ","Elevance Health, Inc. ",Not Available ,29%,27%,17%,21%
H5774 ,Triple S Advantage ,"TRIPLE S ADVANTAGE, INC. ",Guidewell Mutual Holding Corporation ,11%,7%,15%,11%,13%
H5779 ,Wellcare ,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC. ",Centene Corporation ,31%,43%,19%,10%,19%
H5793 ,Aetna Medicare ,AETNA HEALTH INC. (CT) ,CVS Health Corporation ,13%,11%,19%,Not Available ,10%
H5810 ,Molina Healthcare of California ,MOLINA HEALTHCARE OF CALIFORNIA ,"Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5823 ,"Molina Healthcare of Washington, Inc. ","MOLINA HEALTHCARE OF WASHINGTON, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5826 ,Community Health Plan of WA Medicare Advantage ,COMMUNITY HEALTH PLAN OF WASHINGTON ,Community Health Plan of Washington ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5828 ,AMERIGROUP Community Care ,"AMERIGROUP TENNESSEE, INC. ","Elevance Health, Inc. ",15%,26%,24%,Not Available ,13%
H5843 ,Banner Medicare Advantage Prime ,"BANNER HEALTH PLAN, INC. ",Banner Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5852 ,AHF ,AIDS HEALTHCARE FOUNDATION ,AIDS Healthcare Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5854 ,Anthem Blue Cross and Blue Shield ,"ANTHEM HEALTH PLANS, INC. ","Elevance Health, Inc. ",16%,24%,20%,Not Available ,15%
H5859 ,CareOregon Advantage ,"HEALTH PLAN OF CAREOREGON, INC. ","CareOregon, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5883 ,Blue Care Network ,BLUE CARE NETWORK OF MICHIGAN ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,16%,19%,25%,9%,8%
H5900 ,Wellmark Advantage Health Plan ,"WELLMARK ADVANTAGE HEALTH PLAN, INC. ",Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5926 ,Molina Healthcare of Michigan ,"MOLINA HEALTHCARE OF MICHIGAN, INC. ","Molina Healthcare, Inc., ",Not Available ,25%,18%,Not Available ,17%
H5928 ,Blue Shield of California ,California Physicians' Service ,California Physicians' Service ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5932 ,Highmark Wholecare Medicare Assured ,"GATEWAY HEALTH PLAN, INC. ",Highmark Health ,12%,19%,9%,Not Available ,14%
H5937 ,UCare ,UCARE MINNESOTA ,UCare Minnesota ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5938 ,Capital Health Plan ,CAPITAL HEALTH PLAN ,Guidewell Mutual Holding Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5943 ,VillageHealth ,SCAN HEALTH PLAN ,SCAN Group ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5945 ,Prominence Health Plan ,PROMINENCE HEALTHFIRST ,"Universal Health Services, Inc. ",20%,37%,13%,Not Available ,17%
H5959 ,Blue Cross and Blue Shield of Minnesota ,"BCBSM, Inc. ","Aware Integrated, Inc. ",15%,22%,27%,8%,9%
H5965 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF WASHINGTON ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5969 ,AlohaCare ,ALOHACARE ,AlohaCare ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5970 ,Humana ,HUMANA INSURANCE COMPANY OF NEW YORK ,Humana Inc. ,28%,34%,23%,Not Available ,14%
H5989 ,Healthfirst Medicare Plan ,"HEALTHFIRST HEALTH PLAN, INC. ","Healthfirst, Inc. ",14%,26%,34%,Not Available ,Not Available
H5991 ,EmblemHealth Medicare HMO ,HEALTH INSURANCE PLAN OF GREATER NEW YORK ,"EmblemHealth, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
